name_supermarkt,address,lat,long,key_words,codes,postal_code,url2,urls,place,popularity_percent_normal
Migros Supermarkt,"Zrcherstrasse 15, Birmensdorf",47.3543302,8.4368917,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJI8HnhsoOkEcRtrizPct-sG0,8903,https://filialen.migros.ch/de/migros-supermarkt-birmensdorf,https://maps.google.com/?cid=7903956757413869750,_cid=7903956757413869750,65.85714285714286
Coop Supermarkt Birmensdorf,"Zrcherstrasse 13a, Birmensdorf",47.3536614,8.4367457,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJ0YCpYsoOkEcRNz3Ngc-ZFXg,8903,https://www.coop.ch/de/standorte/coop-supermarkt-birmensdorf/1508_POS,https://maps.google.com/?cid=8652991375577267511,_cid=8652991375577267511,53.66666666666666
Lidl Schweiz,"Grubenstrasse 28, Zrich",47.3617687,8.51472,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'home_goods_store', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",ChIJbRRqLvMJkEcR_mqMiGkBWaw,8045,https://www.lidl.ch/,https://maps.google.com/?cid=12418959000224951038,_cid=12418959000224951038,65.9047619047619
Coop Zrich Schweighofstrasse,"Friesenbergpl. 3, Zrich",47.36114999999999,8.5064963,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJ7UVsQo4JkEcRwQUFGjw25xI,8045,http://www.coop.ch/pb/site/vstinfo/node/76518709/Lde/index.html?#id=1238,https://maps.google.com/?cid=1362117044065338817,,
Migros Supermarkt,"BRUNAUPARK, Giesshbelstrasse 65, Zrich",47.35838589999999,8.517647199999999,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJj0lFi-0JkEcRhd1Rz4cxhXc,8045,https://filialen.migros.ch/de/migros-supermarkt-zuerich-brunaupark,https://maps.google.com/?cid=8612344321784536453,_cid=8612344321784536453,55.55555555555556
Coop Supermarkt Zrich Sihlcity Supermarkt,"Kalanderpl. 1, Zrich",47.3576232,8.5231751,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJFwx7xe8JkEcRDrrE0f9X6mg,8045,https://www.coop.ch/de/standorte/coop-supermarkt-zuerich-sihlcity-supermarkt/2848_POS,https://maps.google.com/?cid=7559951680742406670,_cid=7559951680742406670,53.83561643835616
Allegrotto Supermarket ( Online Order ),"Bederstrasse 102, Zrich",47.36174159999999,8.5258785,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJRWdDzv4JkEcRkN3YKey1rEE,8002,https://buyfood.ch/menu-allegrotto-supermarket,https://maps.google.com/?cid=4732357334378536336,,
migrolino Zrich Waffenplatz,"Waffenplatzstrasse 40, Zrich",47.3595129,8.5266093,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJm5NFmvoJkEcR09JW1-3sOxc,8002,http://www.migrolino.ch/,https://maps.google.com/?cid=1674192192762467027,_cid=1674192192762467027,49.25490196078432
migrolino Zrich Waffenplatz,"Waffenplatzstrasse 40, Zrich",47.3595097,8.5266129,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJm5NFmvoJkEcR09JW1-3sOxc,8002,http://www.migrolino.ch/,https://maps.google.com/?cid=1674192192762467027,_cid=1674192192762467027,49.25490196078432
migrolino Zrich Waffenplatz,"Waffenplatzstrasse 40, Zrich",47.3595094,8.5266133,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJm5NFmvoJkEcR09JW1-3sOxc,8002,http://www.migrolino.ch/,https://maps.google.com/?cid=1674192192762467027,_cid=1674192192762467027,49.25490196078432
Shopino.ch,"Uetlibergstrasse 109, Zrich",47.36112019999999,8.5174614,"['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']",ChIJV4R2APMJkEcR8Z53qNlbscw,8045,http://www.shopino.ch/,https://maps.google.com/?cid=14749671245007527665,,
Coop City Zrich Sihlcity,"Kalanderpl. 1, Zrich",47.3581442,8.5225083,"['department_store', 'point_of_interest', 'store', 'establishment']",ChIJp3j71fEJkEcRBzbWCpR8iMg,8045,https://www.coop.ch/de/services/standorte-und-oeffnungszeiten/detail.html/2492/,https://maps.google.com/?cid=14449936379697051143,_cid=14449936379697051143,45.04545454545455
BioKitchen GmbH,Zrich,47.36013759999999,8.5293292,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJVVVVVfoJkEcRuoCHSKdHu6E,8002,http://www.biokitchen.ch/,https://maps.google.com/?cid=11653987244553240762,,
Migros Supermarkt,"Tessinerpl. 10, Zrich",47.36413049999999,8.5310291,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJ8_GqOdYJkEcRlyA5wY3lgh0,8002,https://filialen.migros.ch/de/migros-supermarkt-zuerich-bahnhof-enge,https://maps.google.com/?cid=2126514371067191447,_cid=2126514371067191447,39.45544554455446
Coop Supermarkt Zrich Brotgasse,"Seefeldstrasse 35, Zrich",47.3631746,8.5499358,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJJXQjWk6nmkcRkGvoO-99oVE,8008,https://www.coop.ch/de/standorte/coop-supermarkt-zuerich-brotgasse/5178_POS,https://maps.google.com/?cid=5882121054778321808,_cid=5882121054778321808,60.583333333333336
Coop Supermarkt Zrich Seefeld,"Seefeldstrasse 123, Zrich",47.3580373,8.5547665,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJdUL9H02nmkcR9sm4Ipv4OMU,8008,https://www.coop.ch/de/standorte/coop-supermarkt-zuerich-seefeld/2581_POS,https://maps.google.com/?cid=14211381969353755126,_cid=14211381969353755126,53.1
Migros Supermarkt,"Seefeldstrasse 111/113, Zrich",47.358365,8.5541587,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJs2st406nmkcRAbmB1ZVvu5Y,8008,https://filialen.migros.ch/de/migros-supermarkt-zuerich-hoeschgasse,https://maps.google.com/?cid=10861397615656941825,_cid=10861397615656941825,54.57692307692308
Coop Supermarkt Zrich Tiefenbrunnen,"Seefeldstrasse 199, Zrich",47.3533693,8.559115,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJcczfo0enmkcRcVGnSsAbTPE,8008,https://www.coop.ch/de/standorte/coop-supermarkt-zuerich-tiefenbrunnen/1246_POS,https://maps.google.com/?cid=17387302774070792561,_cid=17387302774070792561,63.79761904761905
SPAR Supermarkt Zrich Forchstrasse,"Forchstrasse 140, Zrich",47.360411,8.563348999999999,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJyW4V-zWnmkcRqIhXwo6RgoQ,8032,https://www.spar.ch/,https://maps.google.com/?cid=9548354202310772904,_cid=9548354202310772904,49.8421052631579
migrolino Zrich Hornegg,"Horneggstrasse 3, Zrich",47.3522694,8.5586466,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJ4zS5ckenmkcRgG7e3h-NwcQ,8008,http://www.migrolino.ch/,https://maps.google.com/?cid=14177768269961653888,_cid=14177768269961653888,31.5
Migros Supermarkt,"Forchstrasse 260, Zrich",47.3576042,8.5716275,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJvSPwpTGnmkcRfQMgzGhOoYI,8008,https://filialen.migros.ch/de/migros-supermarkt-zuerich-burgwies,https://maps.google.com/?cid=9412890908189262717,_cid=9412890908189262717,52.94444444444444
Coop Pronto Shop,"Witikonerstrasse 15, Zrich",47.3639816,8.5670317,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJV-0RKDWnmkcReHFRQHO9q2M,8032,https://www.coop-pronto.ch/de/standort/zuerich-klusplatz/,https://maps.google.com/?cid=7182042333470355832,_cid=7182042333470355832,44.19607843137255
Migros Supermarkt,"Witikonerstrasse 293, Zrich",47.35909299999999,8.5856,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJVbosGiqnmkcRaO1Fr_17AEQ,8053,https://filialen.migros.ch/de/migros-supermarkt-zuerich-witikon-zentrum,https://maps.google.com/?cid=4900052724076637544,_cid=4900052724076637544,53.04166666666666
Coop Supermarkt Zrich Witikonerstrasse,"Witikonerstrasse 409, Zrich",47.3602256,8.594670899999999,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJf599CtOmmkcRWHiWHxYCYGA,8053,https://www.coop.ch/de/standorte/coop-supermarkt-zuerich-witikonerstrasse/1416_POS,https://maps.google.com/?cid=6944552919447795800,_cid=6944552919447795800,51.35897435897436
ALDI Zrich,"Witikonerstrasse 279, Zrich",47.3587468,8.5855994,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJxXEJCJmnmkcR0vOQ6iIwg8g,8053,https://www.aldi-suisse.ch/de/,https://maps.google.com/?cid=14448444956057072594,_cid=14448444956057072594,64.62820512820512
migrolino Birmensdorf,"Industriestrasse 1, Birmensdorf",47.3654398,8.429690599999999,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJ4Q2NTqUOkEcRdJ334CCgdqg,8903,http://www.migrolino.ch/,https://maps.google.com/?cid=12139065908697472372,_cid=12139065908697472372,53.05343511450382
Migros Supermarkt,"Zrcherstrasse 8, Uitikon",47.3682327,8.462667099999999,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJCUfywF4JkEcRk_49-0QlaqM,8142,https://filialen.migros.ch/de/migros-supermarkt-uitikon-waldegg-2,https://maps.google.com/?cid=11775265153916731027,_cid=11775265153916731027,51.888888888888886
Coop Supermarkt Uitikon Waldegg,"Zrcherstrasse 1, Uitikon",47.3676719,8.461705199999999,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJ7SJ3VA0JkEcR8riOqfBvUIg,8142,https://www.coop.ch/de/standorte/coop-supermarkt-uitikon-waldegg/5037_POS,https://maps.google.com/?cid=9822473866722588914,_cid=9822473866722588914,51.708333333333336
Volg,"Zrcherstrasse 44, Uitikon",47.3703921,8.4553034,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJnaspdFcJkEcRMIqwjFvMxEI,8142,https://www.volg.ch/standorte-oeffnungszeiten/detail/volg-uitikon-waldegg/?tx_kochvolgstores_storedetail%5Blocation%5D=8905%20Arni%2C%20Schweiz&tx_kochvolgstores_storedetail%5Blongitude%5D=8.4258515&tx_kochvolgstores_storedetail%5Blatitude%5D=47.3185583&tx_kochvolgstores_storedetail%5Bopen%5D=,https://maps.google.com/?cid=4811194995513002544,_cid=4811194995513002544,52.96629213483146
Coop Supermarkt Zrich Triemli,"In der Ey 85, Zrich",47.370577,8.4921401,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJU5wHWdULkEcRVLrX-Y3gI88,8047,https://www.coop.ch/de/standorte/coop-supermarkt-zuerich-triemli/2580_POS,https://maps.google.com/?cid=14926020490422630996,_cid=14926020490422630996,49.52564102564103
migrolino Triemli,"Birmensdorferstrasse 484, Zrich",47.3685802,8.496631500000001,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJVUL56IAJkEcRDXaPF7oDxp8,8055,http://www.migrolino.ch/,https://maps.google.com/?cid=11512893595213329933,_cid=11512893595213329933,20.01515151515152
Migros Supermarkt,"Birmensdorferstrasse 320, Zrich",47.3699559,8.508720799999999,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJlyh8cScKkEcRY3M2wmnjbVI,8055,https://filialen.migros.ch/de/migros-supermarkt-zuerich-wiedikon-m-maert,https://maps.google.com/?cid=5939653526940971875,_cid=5939653526940971875,55.0
Migros Supermarkt,"Birmensdorferstrasse 320, Zrich",47.3699558,8.5087195,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJlyh8cScKkEcRY3M2wmnjbVI,8055,https://filialen.migros.ch/de/migros-supermarkt-zuerich-wiedikon-m-maert,https://maps.google.com/?cid=5939653526940971875,_cid=5939653526940971875,55.0
Kiosk,"Birmensdorferstrasse 320, Zrich",47.3698892,8.5111323,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJ4xIDaPcLkEcRdI6q6wjtKms,8055,,https://maps.google.com/?cid=7722245133649481332,,
