,square_id,number of supermarket,sup_per_pop
0,sq1-1,0.01,0.01
1,sq1-2,0.01,0.01
2,sq1-3,0.01,0.01
3,sq1-4,0.01,0.01
4,sq1-5,0.01,0.01
5,sq1-6,4.0,0.3218210361067504
6,sq1-7,0.01,0.01
7,sq1-8,0.01,0.01
8,sq1-9,0.01,0.01
9,sq1-10,0.01,0.01
10,sq1-11,0.01,0.01
11,sq1-12,0.01,0.01
12,sq1-13,0.01,0.01
13,sq1-14,0.01,0.01
14,sq1-15,0.01,0.01
15,sq1-16,2.0,0.024115755627009645
16,sq1-17,0.01,0.01
17,sq1-18,1.0,0.022723557299329736
18,sq1-19,6.0,0.07469858465839593
19,sq1-20,6.0,0.0674899708959333
20,sq1-21,1.0,0.014859375803383208
21,sq1-22,0.01,0.01
22,sq1-23,0.01,0.01
23,sq1-24,0.01,0.01
24,sq1-25,0.01,0.01
25,sq1-26,2.0,0.02698370291210259
26,sq1-27,0.01,0.01
27,sq1-28,2.0,0.02153478037942232
28,sq1-29,0.01,0.01
29,sq1-30,1.0,0.04459086730003065
30,sq1-31,0.01,0.01
31,sq1-32,3.0,0.055112124667426834
32,sq1-33,0.01,0.01
33,sq1-34,2.0,0.05478275802850764
34,sq1-35,0.01,0.01
35,sq1-36,0.01,0.01
36,sq1-37,0.01,0.01
37,sq2-1,1.0,1.0588235294117647
38,sq2-2,0.01,0.01
39,sq2-3,0.01,0.01
40,sq2-4,0.01,0.01
41,sq2-5,0.01,0.01
42,sq2-6,0.01,0.01
43,sq2-7,0.01,0.01
44,sq2-8,0.01,0.01
45,sq2-9,0.01,0.01
46,sq2-10,0.01,0.01
47,sq2-11,0.01,0.01
48,sq2-12,0.01,0.01
49,sq2-13,0.01,0.01
50,sq2-14,1.0,0.025303643724696356
51,sq2-15,0.01,0.01
52,sq2-16,0.01,0.01
53,sq2-17,0.01,0.01
54,sq2-18,1.0,0.00979366463237431
55,sq2-19,2.0,0.013393944313661824
56,sq2-20,0.01,0.01
57,sq2-21,2.0,0.06483300589390963
58,sq2-22,4.0,0.08953275907073871
59,sq2-23,1.0,0.3548387096774193
60,sq2-24,3.0,5.1
61,sq2-25,5.0,0.10712894429294897
62,sq2-26,5.0,0.053237410071942444
63,sq2-27,0.01,0.01
64,sq2-28,0.01,0.01
65,sq2-29,1.0,0.02420185375901133
66,sq2-30,0.01,0.01
67,sq2-31,0.01,0.01
68,sq2-32,0.01,0.01
69,sq2-33,0.01,0.01
70,sq2-34,0.01,0.01
71,sq2-35,0.01,0.01
72,sq2-36,0.01,0.01
73,sq2-37,0.01,0.01
74,sq3-1,0.01,0.01
75,sq3-2,0.01,0.01
76,sq3-3,0.01,0.01
77,sq3-4,0.01,0.01
78,sq3-5,0.01,0.01
79,sq3-6,1.0,0.04196391103650861
80,sq3-7,1.0,0.058014459530946916
81,sq3-8,1.0,0.37037037037037035
82,sq3-9,0.01,0.01
83,sq3-10,0.01,0.01
84,sq3-11,0.01,0.01
85,sq3-12,0.01,0.01
86,sq3-13,0.01,0.01
87,sq3-14,2.0,0.01591461380854815
88,sq3-15,0.01,0.01
89,sq3-16,1.0,0.011039794608472401
90,sq3-17,5.0,0.031934829999617546
91,sq3-18,2.0,0.010221465076660989
92,sq3-19,5.0,0.027874917642288784
93,sq3-20,4.0,0.027684313641977935
94,sq3-21,1.0,0.013834309086534605
95,sq3-22,3.0,0.1993175431553593
96,sq3-23,4.0,0.1778975741239892
97,sq3-24,2.0,0.027286257648420704
98,sq3-25,3.0,0.1165658445788739
99,sq3-26,4.0,0.050314465408805034
100,sq3-27,2.0,0.026652667285870044
101,sq3-28,1.0,0.01666414179669747
102,sq3-29,0.01,0.01
103,sq3-30,0.01,0.01
104,sq3-31,0.01,0.01
105,sq3-32,0.01,0.01
106,sq3-33,0.01,0.01
107,sq3-34,0.01,0.01
108,sq3-35,0.01,0.01
109,sq3-36,0.01,0.01
110,sq3-37,0.01,0.01
111,sq4-1,0.01,0.01
112,sq4-2,0.01,0.01
113,sq4-3,0.01,0.01
114,sq4-4,0.01,0.01
115,sq4-5,0.01,0.01
116,sq4-6,0.01,0.01
117,sq4-7,0.01,0.01
118,sq4-8,0.01,0.01
119,sq4-9,0.01,0.01
120,sq4-10,0.01,0.01
121,sq4-11,0.01,0.01
122,sq4-12,2.0,0.020604221969409683
123,sq4-13,1.0,0.010023083464949581
124,sq4-14,0.01,0.01
125,sq4-15,0.01,0.01
126,sq4-16,1.0,0.019385783758577045
127,sq4-17,0.01,0.01
128,sq4-18,1.0,0.004476057823635208
129,sq4-19,3.0,0.018724696356275303
130,sq4-20,7.0,0.04795115894039735
131,sq4-21,3.0,0.026010382409697497
132,sq4-22,12.0,0.8836797877045555
133,sq4-23,7.0,0.4056372549019608
134,sq4-24,5.0,0.06421629126812711
135,sq4-25,0.01,0.01
136,sq4-26,2.0,0.04045368620037807
137,sq4-27,2.0,0.04072565716401333
138,sq4-28,0.01,0.01
139,sq4-29,0.01,0.01
140,sq4-30,0.01,0.01
141,sq4-31,0.01,0.01
142,sq4-32,0.01,0.01
143,sq4-33,0.01,0.01
144,sq4-34,0.01,0.01
145,sq4-35,0.01,0.01
146,sq4-36,0.01,0.01
147,sq4-37,0.01,0.01
148,sq5-1,1.0,0.024733876017532876
149,sq5-2,0.01,0.01
150,sq5-3,0.01,0.01
151,sq5-4,0.01,0.01
152,sq5-5,0.01,0.01
153,sq5-6,0.01,0.01
154,sq5-7,0.01,0.01
155,sq5-8,0.01,0.01
156,sq5-9,0.01,0.01
157,sq5-10,0.01,0.01
158,sq5-11,0.01,0.01
159,sq5-12,0.01,0.01
